Darrin Profitt
Mortimer Coolidge
Naif al-Sheikh
Sonja
Neil Borman
Amsel Reiniger
Diego Irigoyen
Pablo Valdez
Ryuku Orsono
Stranglehold
Adam Fells
Nite Lite
Ratsputin
Sweet Sixteen
A-Mortal
Armek
Fluxus
Jarrod Jupiter
Primaid
Protex
Scorcher III
Shakes
Tronix
Zenturion
Z\u00fcM
Catwalk
John LaMonica
Adara
Damien Kane
Honey
Lady Dragon
Loria
Angora Lapin
Powerhouse
Daniel William Ducannon
Hi-Tech
Hudson Pyle
Dren Keeg
Marvin Noronsa
Terri Eckhart
Azure
Lennox
Lionel Hawkins
Quiz
Silver Shield
Hugo Danner
Runaround Sue
Zuggernaut
Ahtier
Cambodian
Fledermaus
Noelle Avril
Robert DuBois
Gerald Zimmerman
Jonathan Mann
Benjamin Love
Bernard Bonner
Tezcatlipoca
Thomas Corbett
Ms. Mesmer
Flying Buttress
Armageddon
Ranger
Gerald Shilling
Benedict Rundstrom
Edward Clariss
Sky Pirate
Timothy Karnes
Ammon-Ra
Bedbug
Black Python
Charles Lane II
Doctor Chaos
Etienne Guiborg
Rani Singh
Sara Butters
Tataka
Vijay Singh
Zachary Gate
Catwoman III
Dennis Ennis
Doctor Caligan
Geomancer II
Green Ghoul
Jackal III
Mateo Burland
Milton Kroft
Face II
Riki Kimura
Sean Sonus
Seductress
Ugly Man
Burn
Gangly Man
Mind Bullet
Pierrot Lunaire
Sendrina
Tuatara II
Violet
Bizarro Jimmy Olsen
Chien Na Wei
Frank Halloran
Jia
Kid Crusader
Kieran Marshall
Thomas Larson
Chief Justice
Elephant Man
Embargo
"Head, of the Waiting"
Josef Muller
Major Victory III
Mister Nitro
Nuclear
Sara Smart
Ali-Ka Zoom
Edward Stargard
Hummingbird
Lasso
Lisa Yurigama
Richard Beren
Tremor
Headhunter II
Madeline Benoir
Anointed One
Anthony Hartzell
Nicholas Kazantkakis
Sela
Mary Tanner
Oshi Sin Gaaz
Agamemno
Agua Sin Gaaz
Bounty II
La Salamanca
Sala Nisaba
Skizm
Anthony Gambi
Emma Connors
Bamboo Monkey
Brainiac 4 (Post-Zero Hour)
Tumult
Deanna Barr
Chillblaine IV
Henrietta Jessup
Maxwell Veezey
Body Count
Razerkut
Clete Jenkins
David Manguy
Nuliajuk
Sujatmi Sunowaparti
Mayfly
Slingshot
Stinger II
Jennifer Fletcher
Kaliber
Metamorpheus
Pathfinder
Repo
Catseye
Ernest Earnest
Schrek
Lark
Maxwell Cort
Mister Whisper
Nowhere Man
Ruth Spencer
Alexander Wyvern
Ariadne of Knossos
Jean-Marc de Villars
Kuei
Sonya Chuikov
Xanthi
Badb
Belphegor
Djinn
Elemental Woman
Rot Lop Fan
Silver Scarab II
Brittany Brandon
Burt Weston
Cossack the Dark Rider
Thomas Bolt
Whiteout
Chroma
Bekka
Nox
Jason Hart
Kaylark
Alexander Tuttle
Antithesis
David Drayson
Syonide I
Clement Tyme
Paul Kirk III
Jack the Ripper
Terataya
Dela Pharon
Edward Burke
Minister Blizzard
Elmer Pane
Charles Lane
Nyola (Earth-Two)
Auerbach
Daniel Rogers
Darknight
Darla Dudley
Delores Stebbins
Eugene Choi
Funerella
King Bullet
Pedro Pe\u00f1a
Promise
Ri
Sawtooth
Xane Swift
Captain Murder
Captain Swastika
Count Berlin
Dead Hand Legendre
DJ Molecule
Funnel
Hunter
Khea Taramka
Milkman
Nasreen Samari
Omega Man
Randall Mikavic
Recluse
Shadow of War
Vohc
Winslow Heath
Amon
Expediter
Mark Sunderland
Owens
TNTeena
Vitoria
Widower
Zeddmore Washington
Caretaker
Carlo Calzone
Citizen X
Cosmo Racer
Elliot Caldwell
Kusanagi
Matchmaker
"Radiant, Spirit of Mercy"
The Thief
Titus
Bizarro Green Lantern
Bizarro Hawkgirl
Bizarro Lex Luthor
Bizarro Perry White
Dusan al Ghul
Elias Stone
Phosphorus Rex
Wayne Franklin
Americommando II
Bagman
Diviner
Ekron
Face (S.H.A.D.E.)
Khalid
Lady Liberty V
Markot Five
Mas y Menos
Molecule
Myrrt
Railgun
Roxanne Sutton
Saber
Spin Doctor II
Tally Man II
